slug,term,category,short_def,full_def,related
owner,Owner,General,"A league member, whose identity persists across seasons even as team names change.","An owner is a league manager. The app keys everything to the owner rather than the team name, so a manager's history stays continuous across seasons and rebrands.",
regular-season,Regular season,General,"The weekly head-to-head schedule before the playoffs, and the basis for nearly every metric.","The regular season is the weekly head-to-head slate that sets the standings. Almost every metric on the platform is regular-season only, so figures stay comparable across years and aren't distorted by the playoffs.",playoffs
playoffs,Playoffs,General,"The end-of-season bracket; its games are ~2-week aggregates on a different scale, so they're never mixed into regular-season metrics.","The postseason bracket. Because this league's playoff matchups span about two weeks, a playoff 'week' carries roughly double a regular-season score, a different scale entirely. To keep comparisons fair, playoff games are never mixed into any scoring, margin, streak, or luck metric; they surface only as separate playoff W-L records.","regular-season,winners-bracket,toilet-bowl"
current-season,Current season,General,"The latest season that has been drafted.","The 'current' season is the most recent year that has held its draft, not simply the max calendar year, since the upcoming season is an empty shell until the draft happens. Views that auto-advance each year key off this.",
seed,Seed,General,"A team's end-of-regular-season standing, carried into the playoff bracket.","A seed is the rank a team earns from its regular-season finish; it determines bracket placement and matchups. A low seed winning it all is an upset; a high seed in the toilet bowl is a collapse.",playoffs
record,Record,General,"A team's win-loss(-tie) tally.","A record is the count of a team's wins, losses, and ties, its standing line. Summed across opponents it is the career record; win percentage is the rate version.",win-pct
win-pct,Win percentage,General,"Share of games won, with ties counting as half.","Win percentage is wins (plus half of ties) over games played, the rate-based companion to the raw record, used to rank tied records.",record
streak,Streak,General,"A run of consecutive wins (or losses).","A streak is an unbroken run of wins or losses, either current (active now) or longest (the best historical run), computed on the regular-season sequence.",record
points-for,Points for (PF),Scoring,"Total fantasy points a team scored.","Points for (PF) is the fantasy points a team's lineup scored. Summed over a season or career it's the headline scoring measure; per game (PPG) it normalizes for season length.","points-against,points-per-game"
points-against,Points against (PA),Scoring,"Total fantasy points scored against a team by its opponents.","Points against (PA) is what a team's scheduled opponents put up against it. High PA alongside a poor record is a hallmark of a tough schedule (see schedule luck).","points-for,schedule-luck"
points-per-game,Points per game (PPG),Scoring,"Points for divided by games played.","PPG normalizes scoring for uneven season lengths, so teams and seasons with different game counts can be compared fairly.",points-for
margin,Margin,Matchups,"The point difference between the two teams in a game.","Margin is the winner's score minus the loser's. Small margins are tight games (clutch territory); large margins are blowouts.","blowout,tightest-game,clutch-game"
combined-score,Combined score,Matchups,"Both teams' scores in a game added together.","The combined score sums the winner's and loser's points. The highest combined games are shootouts; the lowest are slugfests.","shootout,slugfest"
shootout,Shootout,Matchups,"A regular-season game with one of the highest combined scores.","A shootout is a game where both teams put up big numbers, ranked by combined score (winner plus loser).","combined-score,slugfest"
slugfest,Slugfest,Matchups,"A regular-season game with one of the lowest combined scores.","A slugfest is a low-scoring grind, the opposite of a shootout, ranked by the lowest combined score.","combined-score,shootout"
blowout,Blowout,Matchups,"A win by one of the largest margins.","A blowout is a lopsided result, ranked by the largest margin of victory.","margin,tightest-game"
tightest-game,Tightest game,Matchups,"A win by one of the smallest margins.","The tightest games are nail-biters decided by the smallest margins of victory.","margin,clutch-game"
all-play-record,All-play record,Luck,"What your weekly record would be if you played every team each week, not just your scheduled opponent.","Each week your score is compared against every other team's, so beating two-thirds of the league counts as a strong week regardless of who you actually faced. Summed over a season it is a schedule-neutral measure of how well you really played, and the basis for expected wins and schedule luck.","all-play-win-pct,expected-wins,schedule-luck"
all-play-win-pct,All-play win %,Luck,"The share of the league you outscored, across every week.","All-play win % is your all-play wins (plus half your ties) over your all-play games, the fraction of all head-to-heads you would have won against the whole field. League-wide it averages 50%.","all-play-record,expected-wins"
expected-wins,Expected wins,Luck,"The wins a schedule-neutral team would earn: all-play win % times games played.","Expected wins is what your record should have been given how you scored against the whole league, your all-play win % scaled to your number of games. Compared with your actual wins it isolates schedule luck.","all-play-win-pct,schedule-luck"
schedule-luck,Schedule luck,Luck,"Actual wins minus expected wins; positive means lucky, negative means robbed.","Schedule luck is actual wins minus expected wins. Positive means you won more than your scoring earned (a soft schedule or good timing); negative means you were robbed by the schedule. It is the platform's single continuous luck measure, and the lucky-win / unlucky-loss week chips are the discrete view of the same idea.","expected-wins,lucky-win,unlucky-loss"
