metric_key,category,section,metric_label,sort_sign,value_format,display_order,description,empty_label,glossary_slug
scoring_title,Season,Scoring,Scoring title,1,points,1,"Most regular-season points in the league this season.",,points-for
non_scoring_title,Season,Scoring,Bottom-scorer title,-1,points,2,"Fewest regular-season points in the league this season.",,points-for
matchup_title,Matchup,Scoring,Best-week title,1,points,3,"Single highest weekly score in the league this season.",,points-for
bad_matchup_title,Matchup,Scoring,Worst-week title,-1,points,4,"Single lowest weekly score in the league this season.",,points-for
non_playoff_scoring_title,Playoff Luck,Luck,Snub title,1,points,36,"The season's biggest snub.","No snub — the playoff teams were the top scorers",snub
playoff_non_scoring_title,Playoff Luck,Luck,Lucky-in title,-1,points,37,"The season's luckiest-in.","No lucky-in — the playoff teams were the top scorers",lucky-in
shotgun_title,Shotgun,Shotgun,Shotgun title,1,int,9,"Most shotguns this season.","Nobody shotgunned this season",shotgun
no_shotgun_season,Shotgun,Shotgun,Sober season,1,int,10,"Finished the season with zero shotguns.","Everyone shotgunned this season",shotgun
clutch_winning_title,Clutch,Clutch,Clutch-winning title,1,int,11,"Most clutch wins this season.","No clutch wins this season",clutch-game
clutch_losing_title,Clutch,Clutch,Clutch-losing title,1,int,12,"Most clutch losses this season.","No clutch losses this season",clutch-game
tightest_matchups,Margins,Matchups,Tightest game,-1,points,13,"Closest game this season — the smallest regular-season margin of victory.",,tightest-game
biggest_blowouts,Margins,Matchups,Biggest blowout,1,points,14,"The largest regular-season margin of victory this season.",,blowout
most_acquisitions_season,Roster,Transactions,Most acquisitions,1,int,15,"Most roster acquisitions this season.","No acquisitions this season",acquisition
most_trades_season,Roster,Transactions,Most trades,1,int,16,"Most trades completed this season.","No trades this season",trade
highest_shootouts,Combined,Matchups,Shootout,1,points,17,"Highest combined score in a regular-season game this season.",,shootout
lowest_slugfests,Combined,Matchups,Slugfest,-1,points,18,"Lowest combined score in a regular-season game this season.",,slugfest
champion,Results,Postseason,Champion,1,seed,19,"Won the league championship this season (shown with their regular-season seed).",,champion
toilet_bowl_loser,Results,Postseason,Toilet Bowl Loser,1,seed,20,"Finished dead last this season (shown with their regular-season seed).",,last-place
best_lineup_title,Lineups,Lineups,Fewest points left,-1,points,23,"Fewest regular-season points left on the bench this season.",,points-left
worst_lineup_title,Lineups,Lineups,Most points left,1,points,24,"Most regular-season points left on the bench this season.",,points-left
most_efficient_lineup_title,Lineups,Lineups,Most efficient lineup,1,pct,25,"Highest lineup efficiency this season.",,lineup-efficiency
least_efficient_lineup_title,Lineups,Lineups,Least efficient lineup,-1,pct,26,"Lowest lineup efficiency this season.",,lineup-efficiency
underutilized_player,Lineups,Lineups,Most underutilized player,1,points,27,"The best player most left on the bench this season.","Everyone started their best players",underutilized-player
lucky_schedule_title,Schedule Luck,Luck,Luckiest schedule,1,wins,30,"Most wins above a schedule-neutral expectation this season.","Nobody beat their expected wins this season",schedule-luck
unlucky_schedule_title,Schedule Luck,Luck,Most robbed,-1,wins,31,"Most wins below a schedule-neutral expectation this season.","Nobody fell short of their expected wins this season",schedule-luck
all_play_snub_title,Schedule Luck,Luck,All-play snub,1,pct,32,"The season's biggest merit-based snub.","No all-play snub — the playoff teams had the best all-play records",all-play-snub
all_play_luck_in_title,Schedule Luck,Luck,All-play lucky-in,-1,pct,33,"The season's biggest merit-based lucky-in.","No all-play lucky-in — the playoff teams had the best all-play records",all-play-lucky-in
